Dataset,Method,Silhouette,Calinski-Harabasz,Davies-Bouldin,ARI,NMI,Purity
Easy,AE+KMeans,,,,,,
Easy,CVAE+KMeans,,,,,,
Easy,DirectSpectral+KMeans,,,,,,
Easy,PCA+KMeans,0.19556132020085853,1901.779983727584,1.3611483503465334,,,
Easy,KMeans,0.19839588223540688,1901.1618790123357,1.33391368936806,,,
Easy,Agglomerative,0.19692354744858323,1661.539365572084,1.4234071669173716,,,
Medium,AE+KMeans,,,,,,
Medium,CVAE+KMeans,,,,,,
Medium,DirectSpectral+KMeans,,,,,,
Medium,PCA+KMeans,0.17855530064866126,1330.9902689028502,1.5256658602415663,0.004707835146178571,0.021844754871577738,0.47322212467076386
Medium,KMeans,0.17966393388368126,1331.4548119396877,1.5285880991801428,0.0046814858432052,0.021788636113257816,0.47322212467076386
Medium,Agglomerative,0.15703143553071075,1183.3538613195058,1.6110984867357856,0.0045311865892348,0.024299660061336492,0.4877085162423178
Hard,AE+KMeans,0.14424586377138932,2755.2844443811746,1.738996328498209,0.008380698126595627,0.02285925198028634,0.4895595878544725
Hard,CVAE+KMeans,-0.017742305050761714,1051.1043218369036,3.4571003215839093,0.03223010569031504,0.05915849087011396,0.5584936628066016
Hard,DirectSpectral+KMeans,0.1754095803440711,3014.715146096896,1.5543503874894262,0.005232924668496513,0.019530313798913217,0.47004650314580104
Hard,PCA+KMeans,0.18393867813427056,3131.2294262334176,1.4901702754632031,0.006267287366987629,0.02239111523374284,0.47588219203063736
Hard,KMeans,0.18202059008769353,3080.0645007656617,1.507657662083019,0.006566402378948999,0.02260840509862179,0.47597337466946293
Hard,Agglomerative,0.13550105695441284,2799.9522385102346,1.6415639444764945,0.009349740401495856,0.02410231742021675,0.4772499316130209
